Acas Remigijus (3 / 0)
Aleknaite Abramikiene Vilija (20 / 4)
Austrevicius Petras (31 / 3)
Azubalis Audronius (45 / 6)
Baguska Petras (1 / 0)
Balcytis Zigmantas (2 / 0)
Balsiene Aldona (1 / 1)
Baltraitiene Virginija (1 / 0)
Barakauskas Dailis Alfonsas (1 / 0)
Baranauskas Andrius (25 / 0)
Basys Rimantas (11 / 0)
Baskiene Rima (6 / 0)
Bekintiene Danute (5 / 1)
Bernatonis Juozas (0 / 0)
Blinkeviciute Vilija (0 / 0)
Bobelis Kazys (2 / 0)
Bogusis Vytautas (5 / 0)
Boreikiene Violeta (3 / 0)
Bosas Antanas (7 / 0)
Bradauskas Bronius (2 / 0)
Bucevicius Saulius (15 / 0)
Bukauskas Valentinas (2 / 0)
Butkevicius Algirdas (4 / 0)
Buzinskas Gintautas (0 / 0)
Caplikas Algis (5 / 0)
Cekuolis Jonas (32 / 2)
Cepas Vytautas (7 / 0)
Cigriejiene Vida Marija (6 / 1)
Dagys Rimantas Jonas (13 / 0)
Dauksys Kestutis (0 / 1)
Dautartas Julius (8 / 1)
Degutiene Irena (6 / 0)
Domarkas Virginijus (17 / 0)
Draugelis Vytautas Sigitas (10 / 0)
Dumcius Arimantas (6 / 0)
Endzinas Audrius (1 / 0)
Gaizutis Algirdas (0 / 0)
Galvonas Vytautas (3 / 1)
Garbaravicius Ramunas (10 / 2)
Gedvilas Vydas (21 / 0)
Gedvilas Aidas (0 / 0)
Girdauskas Saulius (4 / 0)
Glaveckas Kestutis (2 / 1)
Grauziniene Loreta (1 / 0)
Grazulis Petras (2 / 1)
Grubliauskas Vytautas (12 / 0)
Ivanauskas Algirdas (3 / 0)
Jagminas Jonas (18 / 0)
Jakavonis Gediminas (45 / 0)
Jakucionis Povilas (3 / 0)
Jankauskas Donatas (23 / 1)
Jarusevicius Juozas (8 / 0)
Jukneviciene Rasa (24 / 2)
Juozapaitis Jonas (8 / 0)
Jursenas Ceslovas (19 / 0)
Kamblevicius Vytautas (3 / 0)
Karbauskis Vaclovas (0 / 0)
Karosas Justinas (42 / 0)
Karpickiene Etela (1 / 0)
Kaseta Algis (16 / 0)
Kirkilas Gediminas (0 / 0)
Klumbys Egidijus (10 / 0)
Ksaniene Romualda (3 / 0)
Kubilius Andrius (37 / 6)
Kupcinskas Rytas (7 / 1)
Lapenas Saulius (9 / 0)
