Afganistanas,AFG,AF,Afganistano Islamo Valstybë
Airija,IRL,IE,Airijos Respublika
Albanija,ALB,AL,Albanijos Respublika
Alþyras,ALG,DZ,Alþyro Liaudies Demokratinë Respublika
Amerikos Samoa,ASA,AS,Rytø Samoa
Andora,AND,AD,Andoros Kunigaikðtystë
Angilija,-,AI,- 	 
Angola,ANG,AO,Angolos Respublika
Antarktis,-,AQ,Antarktida
Antigva ir Barbuda,ANT,AG,- 	 
Argentina,ARG,AR,Argentinos Respublika
Armënija,ARM,AM,Armënijos Respublika
Aruba,ARU,AW,- 	 
Australija,AUS,AU,- 	 
Austrija,AUT,AT,Austrijos Respublika
Azerbaidþanas,AZE,AZ,Azerbaidþano Respublika
Bahamos,BAH,BS,Bahamø Sandrauga; Bahamai
Bahreinas,BRN,BH,Bahreino Karalystë
Baltarusija,BLR,BY,Baltarusijos Respublika
Bangladeðas,BAN,BD,Bangladeðo Liaudies Respublika
Barbadosas,BAR,BB,- 	 
Belgija,BEL,BE,Belgijos Karalystë
Belizas,BIZ,BZ,-	 
Beninas,BEN,BJ,Benino Respublika
Bermuda,BER,BM,Bermudai
Bisau Gvinëja,GBS,GW,Bisau Gvinëjos Respublika
Bolivija,BOL,BO,Bolivijos Respublika
Bosnija ir Hercegovina,BIH,BA,Bosnijos ir Hercegovinos Respublika
Botsvana,BOT,BW,Botsvanos Respublika
Buvë,-,BV,Buvë sala
Brazilija,BRA,BR,Brazilijos Federacinë Respublika
Brunëjus,BRU,BN,Brunëjaus Darusalamas
Bulgarija,BUL,BG,Bulgarijos Respublika
Burkina Fasas,BUR,BF,- 	 
Burundis,BDI,BI,Burundþio Respublika
Butanas,BHU,BT,Butano Karalystë
Centrinës Afrikos Respublika,CAF,CF,- 	 
Èadas,CHA,TD,Èado Respublika
Èekija,CZE,CZ,Èekijos Respublika
Èilë,CHI,CL,Èilës Respublika
Danija,DEN,DK,Danijos Karalystë
Didþiosios Britanijos Mergeliø salos,IVB,VG,- 	 
Dominika,DMA,DM,Dominikos Sandrauga
Dominikos Respublika,DOM,DO,- 	 
Dramblio Kaulo Krantas,CIV,CI,Dramblio Kaulo Kranto Respublika
Dþibutis,DJI,DJ,Dþibuèio Respublika
Egiptas,EGY,EG,Egipto Arabø Respublika
Ekvadoras,ECU,EC,Ekvadoro Respublika
Eritrëja,ERI,ER,- 	 
Estija,EST,EE,Estijos Respublika
Etiopija,ETH,ET,Etiopijos Federacinë Demokratinë Respublika
Falklando salos,-,FK,Malvinø salos
Farerø salos,-,FO,- 	 
Fidþis,FIJ,FJ,Fidþio Salø Respublika
Filipinai,PHI,PH,Filipinø Respublika
Gabonas,GAB,GA,Gabono Respublika
Gajana,GUY,GY,Gajanos Respublika
Gambija,GAM,GM,Gambijos Respublika
Gana,GHA,GH,Ganos Respublika
