Afganistanas,AFG,AF,Afganistano Islamo Valstybė
Airija,IRL,IE,Airijos Respublika
Albanija,ALB,AL,Albanijos Respublika
Alžyras,ALG,DZ,Alžyro Liaudies Demokratinė Respublika
Amerikos Samoa,ASA,AS,Rytų Samoa
Andora,AND,AD,Andoros Kunigaikštystė
Angilija,-,AI,- 	 
Angola,ANG,AO,Angolos Respublika
Antarktis,-,AQ,Antarktida
Antigva ir Barbuda,ANT,AG,- 	 
Argentina,ARG,AR,Argentinos Respublika
Armėnija,ARM,AM,Armėnijos Respublika
Aruba,ARU,AW,- 	 
Australija,AUS,AU,- 	 
Austrija,AUT,AT,Austrijos Respublika
Azerbaidžanas,AZE,AZ,Azerbaidžano Respublika
Bahamos,BAH,BS,Bahamų Sandrauga; Bahamai
Bahreinas,BRN,BH,Bahreino Karalystė
Baltarusija,BLR,BY,Baltarusijos Respublika
Bangladešas,BAN,BD,Bangladešo Liaudies Respublika
Barbadosas,BAR,BB,- 	 
Belgija,BEL,BE,Belgijos Karalystė
Belizas,BIZ,BZ,-	 
Beninas,BEN,BJ,Benino Respublika
Bermuda,BER,BM,Bermudai
Bisau Gvinėja,GBS,GW,Bisau Gvinėjos Respublika
Bolivija,BOL,BO,Bolivijos Respublika
Bosnija ir Hercegovina,BIH,BA,Bosnijos ir Hercegovinos Respublika
Botsvana,BOT,BW,Botsvanos Respublika
Buvė,-,BV,Buvė sala
Brazilija,BRA,BR,Brazilijos Federacinė Respublika
Brunėjus,BRU,BN,Brunėjaus Darusalamas
Bulgarija,BUL,BG,Bulgarijos Respublika
Burkina Fasas,BUR,BF,- 	 
Burundis,BDI,BI,Burundžio Respublika
Butanas,BHU,BT,Butano Karalystė
Centrinės Afrikos Respublika,CAF,CF,- 	 
Čadas,CHA,TD,Čado Respublika
Čekija,CZE,CZ,Čekijos Respublika
Čilė,CHI,CL,Čilės Respublika
Danija,DEN,DK,Danijos Karalystė
Didžiosios Britanijos Mergelių salos,IVB,VG,- 	 
Dominika,DMA,DM,Dominikos Sandrauga
Dominikos Respublika,DOM,DO,- 	 
Dramblio Kaulo Krantas,CIV,CI,Dramblio Kaulo Kranto Respublika
Džibutis,DJI,DJ,Džibučio Respublika
Egiptas,EGY,EG,Egipto Arabų Respublika
Ekvadoras,ECU,EC,Ekvadoro Respublika
Eritrėja,ERI,ER,- 	 
Estija,EST,EE,Estijos Respublika
Etiopija,ETH,ET,Etiopijos Federacinė Demokratinė Respublika
Falklando salos,-,FK,Malvinų salos
Farerų salos,-,FO,- 	 
Fidžis,FIJ,FJ,Fidžio Salų Respublika
Filipinai,PHI,PH,Filipinų Respublika
Gabonas,GAB,GA,Gabono Respublika
Gajana,GUY,GY,Gajanos Respublika
Gambija,GAM,GM,Gambijos Respublika
Gana,GHA,GH,Ganos Respublika
